"Unit_Code","Park_Name","Lake_Code","Start_Date","Event_Duplicate","Field_Split","Number_of_Sweeps","GPS_Used","Start_Time","End_Time","General_Invert_Notes","Invert_Duplicate","Sample_Date_Collected","Sample_Collection_Procedure","Order","Family","Taxon","Count","Large_or_Rare","Life_Stage","Unique","Qualifier","ProportionOfSampleUsed","Invertebrate_Species_Record_Notes"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Ceratopogonidae","Bezzia / Palpomyia",62,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Ephemeroptera","Baetidae","Callibaetis",25,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Ceratopogonidae","Dasyhelea",15,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Corynoneura",7,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Paratanytarsus",1,,"Pupa","No",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Chaetocladius",14,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Orthocladiinae",19,,"Larva","No","Early Instar","30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diplostraca",,"Cladocera",21,,"Unknown","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Chironomus",3,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Trombidiformes","Arrenuridae","Arrenurus",8,,"Adult","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Odonata","Corduliidae","Corduliidae",2,,"Larva","Yes","Damaged","63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Coleoptera","Dytiscidae","Dytiscidae",1,,"Larva","No","Damaged","63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Dicrotendipes",2,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Ceratopogonidae","Dasyhelea",17,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Culicidae","Culicidae",4,,"Larva","Yes","Damaged","63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Cricotopus",3,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Corynoneura",3,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Ablabesmyia",2,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Enchytraeida","Enchytraeidae","Enchytraeus",1,,"Unknown","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Coleoptera","Dytiscidae","Agabus lutosus",1,,"Adult","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Trombidiformes","Oxidae","Frontipoda",4,,"Adult","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Trichoptera","Phryganeidae","Banksiola crotchi",15,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Tubificida","Naididae","Bratislavia",1,,"Unknown","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Ephemeroptera","Baetidae","Callibaetis",36,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Ceratopogonidae","Ceratopogoninae",54,,"Larva","Yes","Early Instar","63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chaoboridae","Chaoborus",28,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Chironomus",2,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Odonata","Coenagrionidae","Coenagrionidae",9,,"Larva","Yes","Damaged","63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK",,,"Copepoda",96,,"Unknown","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK",,,"Acari",2,,"Larva","No",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK",,,"Ostracoda",90,,"Unknown","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Hemiptera","Corixidae","Corixidae",5,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Zavrelimyia",47,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Trichoptera",,"Trichoptera",3,,"Pupa","No","Damaged","63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Tanytarsus",12,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Tanypodinae",1,,"Pupa","No","Damaged","63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Psectrocladius",30,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Procladius",24,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Polypedilum",2,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Coleoptera","Dytiscidae","Dytiscidae",2,,"Adult","No","Damaged","63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Trombidiformes","Pionidae","Piona",9,,"Adult","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diplostraca",,"Cladocera",26,,"Unknown","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Hemiptera","Notonectidae","Notonecta undulata",4,,"Adult","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Hemiptera","Notonectidae","Notonecta",2,,"Larva","No",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK",,,"Nemata",56,,"Unknown","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Tubificida","Naididae","Nais",3,,"Unknown","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Lumbriculida","Lumbriculidae","Lumbriculidae",1,,"Immature","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Trombidiformes","Hydrodromidae","Hydrodroma",18,,"Adult","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Diptera","Chironomidae","Glyptotendipes",3,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Hemiptera","Gerridae","Gerridae",4,,"Larva","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No",,15,"Yes","14:37","16:27",,"No",2016-09-13,"KICK","Trombidiformes","Pionidae","Pionacercus",7,,"Adult","Yes",,"63.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Trichoptera","Phryganeidae","Banksiola crotchi",3,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Trombidiformes","Pionidae","Piona",1,,"Adult","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Ablabesmyia",60,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Ceratopogonidae","Ceratopogoninae",8,,"Larva","Yes","Early Instar","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Polypedilum",4,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Tanytarsus",330,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Pseudochironomus",5,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Dicrotendipes",65,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Trombidiformes","Hydrodromidae","Hydrodroma",2,,"Adult","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diplostraca","","Cladocera",9,,"Unknown","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Tabanidae","Tabanidae",1,,"Larva","Yes","Early Instar","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","","","Nemata",3,,"Unknown","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Corynoneura",17,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Tubificida","Naididae","Naididae",2,,"Immature","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Paratanytarsus",53,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","","","Ostracoda",3,,"Unknown","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Hemiptera","Notonectidae","Notonecta kirbyi",1,,"Adult","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","","","Copepoda",2,,"Unknown","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Procladius",46,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Psectrocladius",2,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Polypedilum",1,,"Pupa","No","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Odonata","Libellulidae","Libellulidae",3,,"Larva","Yes","Early Instar","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Ceratopogonidae","Dasyhelea",4,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Enchytraeida","Enchytraeidae","Enchytraeidae",2,,"Unknown","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Apedilum",3,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Diptera","Chironomidae","Glyptotendipes",6,,"Larva","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Hemiptera","Corixidae","Hesperocorixa",,1,"Adult","Yes","Female","100 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No",,15,"Yes","10:45","12:00","split unknown","No",2019-09-10,"KICK","Trombidiformes","Arrenuridae","Arrenurus",7,,"Adult","Yes","","5.83333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Diptera","Chironomidae","Glyptotendipes",8,,"Larva","Yes",,"100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Diptera","Chironomidae","Procladius",94,,"Larva","Yes",,"100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Diptera","Chironomidae","Tribelos",15,,"Larva","Yes",,"100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Diptera","Chironomidae","Tanytarsus",1,,"Larva","Yes",,"100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Diptera","Chironomidae","Psectrocladius",1,,"Larva","Yes",,"100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Hemiptera","Corixidae","Corixidae",2,,"Adult","Yes","Damaged","100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Trombidiformes","Oxidae","Frontipoda",76,,"Adult","Yes",,"100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Hemiptera","Notonectidae","Notonecta",1,,"Adult","Yes",,"100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No",,15,"Yes","15:40","16:08",,"No",2013-09-07,"KICK","Diptera","Chironomidae","Microtendipes Pedellus Gr.",172,,"Larva","Yes",,"100 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Coleoptera","Dytiscidae","Acilius abbreviatus",1,,"Adult","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Diptera","Chironomidae","Corynoneura",2,,"Larva","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Diplostraca",,"Cladocera",2,,"Unknown","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Odonata","Corduliidae","Corduliidae",18,,"Larva","Yes","Damaged","13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Trombidiformes","Oxidae","Frontipoda",6,,"Adult","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Coleoptera","Dytiscidae","Graphoderus occidentalis",1,,"Adult","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Trombidiformes","Hydrodromidae","Hydrodroma",3,,"Adult","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Hemiptera","Notonectidae","Notonecta kirbyi",1,,"Adult","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Diptera","Chironomidae","Psectrocladius",54,,"Larva","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Diptera","Chironomidae","Tanytarsus",64,,"Larva","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Diptera","Chironomidae","Procladius",312,,"Larva","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Trombidiformes","Pionidae","Pionacercus",1,,"Adult","Yes",,"13.3333333333333 %",
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No",,15,"Yes","16:00","17:00",,"No",2016-09-14,"KICK","Trombidiformes","Pionidae","Piona",5,,"Adult","Yes",,"13.3333333333333 %",
