"Unit_Code","Park_Name","Lake_Code","Start_Date","Event_Duplicate","Letter","Canopy_Type","Big_trees_ArealCover","Small_trees_ArealCover","Understory_Veg_Cover","Woody_shrubs_saplings_ArealCover","Tall_herb_grass_forb_ArealCover","Woody_shrubs_saplings_GroundCover","Herb_Grass_Forb_GroundCover","Standing_water_ArealCover","Barren_AreaCcover","Riparian_Cover_Notes","Validation_Notes"
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","N","coniferous","moderate (10-40%)","absent","mixed","moderate (10-40%)","moderate (10-40%)","sparse (<10%)","heavy (40-75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","A","coniferous","moderate (10-40%)","sparse (<10%)","deciduous","sparse (<10%)","sparse (<10%)","sparse (<10%)","heavy (40-75%)","moderate (10-40%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","G",,"absent","absent","broadleaf evergreen","absent","moderate (10-40%)","absent","very heavy (>75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","J",,"absent","absent","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","L",,"absent","absent","mixed","moderate (10-40%)","moderate (10-40%)","sparse (<10%)","heavy (40-75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","D","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","sparse (<10%)","sparse (<10%)","heavy (40-75%)","moderate (10-40%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","B","coniferous","absent","sparse (<10%)","coniferous","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","heavy (40-75%)","sparse (<10%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","O",,"absent","absent","broadleaf evergreen","absent","heavy (40-75%)","absent","very heavy (>75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","I",,"absent","absent","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","E","coniferous","moderate (10-40%)","moderate (10-40%)","coniferous","moderate (10-40%)","sparse (<10%)","sparse (<10%)","heavy (40-75%)","moderate (10-40%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","C","coniferous","moderate (10-40%)","sparse (<10%)","coniferous","moderate (10-40%)","sparse (<10%)","sparse (<10%)","heavy (40-75%)","moderate (10-40%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","F",,"absent","absent","broadleaf evergreen","absent","moderate (10-40%)","absent","very heavy (>75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","K",,"absent","absent","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","L","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","A","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","moderate (10-40%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","J","coniferous","sparse (<10%)","moderate (10-40%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","K","coniferous","sparse (<10%)","moderate (10-40%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","N","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","I","coniferous","sparse (<10%)","moderate (10-40%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","O","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","G","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","D","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","M","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","E","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","F","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","moderate (10-40%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","H","coniferous","moderate (10-40%)","moderate (10-40%)","coniferous","moderate (10-40%)","absent","sparse (<10%)","sparse (<10%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","B","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","C","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","M","coniferous","sparse (<10%)","absent",,"absent","sparse (<10%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","J",,"absent","absent",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","E","coniferous","moderate (10-40%)","moderate (10-40%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","sparse (<10%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","O",,"absent","absent",,"absent","absent","absent","sparse (<10%)","moderate (10-40%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","N","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","moderate (10-40%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","L","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","absent","sparse (<10%)","moderate (10-40%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","K",,"absent","absent",,"absent","absent","absent","moderate (10-40%)","sparse (<10%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","I",,"absent","absent",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","G",,"absent","absent",,"absent","absent","absent","sparse (<10%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","B",,"absent","absent","coniferous","sparse (<10%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)","sparse (<10%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","C",,"absent","absent",,"absent","absent","sparse (<10%)","sparse (<10%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","D","coniferous","sparse (<10%)","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","A","coniferous","absent","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","sparse (<10%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","F","coniferous","sparse (<10%)","moderate (10-40%)","coniferous","sparse (<10%)","absent","sparse (<10%)","moderate (10-40%)","sparse (<10%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","H","coniferous","absent","sparse (<10%)",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","J","coniferous","sparse (<10%)","sparse (<10%)","broadleaf evergreen","absent","sparse (<10%)","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","M",,"absent","absent",,"absent","absent","absent","sparse (<10%)","moderate (10-40%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","E",,"absent","absent","coniferous","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","G","coniferous","absent","sparse (<10%)","coniferous","moderate (10-40%)","absent","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","L","coniferous","moderate (10-40%)","sparse (<10%)","broadleaf evergreen","absent","sparse (<10%)","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","I","coniferous","absent","sparse (<10%)","coniferous","moderate (10-40%)","absent","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","N","coniferous","moderate (10-40%)","moderate (10-40%)","coniferous","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","O","coniferous","moderate (10-40%)","heavy (40-75%)","coniferous","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","C","coniferous","absent","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","A","coniferous","moderate (10-40%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","F","coniferous","sparse (<10%)","absent","coniferous","moderate (10-40%)","absent","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","K","coniferous","absent","moderate (10-40%)","broadleaf evergreen","absent","sparse (<10%)","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","H","coniferous","sparse (<10%)","moderate (10-40%)","coniferous","sparse (<10%)","absent","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","B","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","D","coniferous","moderate (10-40%)","absent","coniferous","moderate (10-40%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","H","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","C","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","sparse (<10%)","absent","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","B","coniferous","sparse (<10%)","sparse (<10%)","mixed","sparse (<10%)","absent","moderate (10-40%)","absent","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","M","coniferous","moderate (10-40%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","K","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","O","coniferous","moderate (10-40%)","moderate (10-40%)","coniferous","sparse (<10%)","absent","moderate (10-40%)","sparse (<10%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","D","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","sparse (<10%)","moderate (10-40%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","I","coniferous","sparse (<10%)","moderate (10-40%)","coniferous","moderate (10-40%)","absent","heavy (40-75%)","sparse (<10%)","sparse (<10%)","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","L","coniferous","moderate (10-40%)","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","A","coniferous","moderate (10-40%)","sparse (<10%)","mixed","moderate (10-40%)","absent","sparse (<10%)","absent","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","F","coniferous","sparse (<10%)","sparse (<10%)","mixed","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","G","coniferous","absent","sparse (<10%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","J","coniferous","absent","sparse (<10%)","coniferous","moderate (10-40%)","absent","heavy (40-75%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","N","coniferous","moderate (10-40%)","moderate (10-40%)","coniferous","moderate (10-40%)","absent","moderate (10-40%)","absent","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","E","coniferous","sparse (<10%)","sparse (<10%)","coniferous","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","A",,"absent","absent",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","L","coniferous","absent","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","J",,"absent","absent","coniferous","sparse (<10%)","absent","sparse (<10%)","absent","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","B",,"absent","absent",,"absent","absent","sparse (<10%)","absent","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","M",,"absent","absent",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","F",,"absent","absent",,"absent","absent","absent","absent","moderate (10-40%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","K",,"absent","absent",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","N","coniferous","absent","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","C",,"absent","absent",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","H",,"absent","absent",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","E",,"absent","absent",,"absent","absent","absent","absent","moderate (10-40%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","I",,"absent","absent",,"absent","sparse (<10%)","sparse (<10%)","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","G",,"absent","absent",,"absent","absent","absent","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","O","coniferous","absent","sparse (<10%)","coniferous","sparse (<10%)","absent","sparse (<10%)","sparse (<10%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","D",,"absent","absent",,"absent","sparse (<10%)","absent","moderate (10-40%)","sparse (<10%)","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2019-09-11,"No","H",,"absent","absent","mixed","sparse (<10%)","sparse (<10%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2019-09-11,"No","A","coniferous","sparse (<10%)","absent","mixed","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2019-09-11,"No","F",,"absent","absent","broadleaf evergreen","absent","sparse (<10%)","absent","sparse (<10%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2019-09-11,"No","E",,"absent","absent","broadleaf evergreen","absent","sparse (<10%)","absent","sparse (<10%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2019-09-11,"No","G",,"absent","absent","mixed","sparse (<10%)","sparse (<10%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL11",2019-09-11,"No","B","coniferous","moderate (10-40%)","sparse (<10%)","coniferous","sparse (<10%)","sparse (<10%)","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","heavy (40-75%)",,
